------Authors-----

vertex_id,DBLP_id,name
783,17710,Jianzhong Li
784,17732,Mengchi Liu
785,17749,Shuigeng Zhou
786,17773,Xin Wang
787,17774,Xiangyang Xue
788,17830,Ning Liu
789,17842,Xueqi Cheng
790,17883,Daniel P. Miranker
791,17901,Yue Wang
792,17952,Peng Wang
793,17966,Yue Pan
794,17978,Aoying Zhou
795,18030,Hong Gao
796,18046,Ling Feng
797,18106,Xiaokui Xiao
798,18173,Ying Li
799,18194,Zhihua Zhang
800,18222,Ying Zhang
801,18226,Shiwei Tang
802,18227,Dongqing Yang
803,18260,Honghua Dai
804,18267,Werner Winiwarter
805,18469,Ting Wang
806,18489,Yi Li
807,18607,Gang Wang
808,18639,Myoung-Ho Kim
809,18659,Yue Lu
810,18692,Fang Liu
811,18798,Seog Park
812,18824,Ling Wang
813,18863,Sangsoo Kim
814,18878,Tengjiao Wang
815,18985,Tong Zhang
816,19191,Lei Yu
817,19223,Lei Shi
818,19331,Jian Huang
819,19662,Rong Jin
820,19717,Lei Chen 0002
821,19923,Sabrina De Capitani di Vi
822,19964,Huan Liu
823,19982,Abdul Sattar
824,20052,Zoubin Ghahramani
825,20109,Li Wei
826,20201,Jiming Liu
827,20249,Chen Wang
828,20275,Dong Wang
829,20315,Xin Jin
830,20339,Jie Yang
831,20363,Qing Liu
832,20487,Jean-Daniel Zucker
833,20542,Ken Barker
834,20603,Ping Luo
835,20637,Song Wang
836,20685,Licheng Jiao
837,20775,Shusaku Tsumoto
838,20862,Shoji Hirano
839,20939,Yang Liu
840,20980,Ning Zhong
841,20995,Feng Pan
842,21088,Yasushi Sakurai
843,21095,Tzung-Pei Hong
844,21190,Xiaoyan Zhu
845,21356,Fernando Pereira
846,21437,Belle L. Tseng
847,21439,John R. Smith
848,21489,Wen-Hsiang Tsai
849,21605,Joel H. Saltz
850,21606,Gagan Agrawal
851,22150,Anastassia Ailamaki
852,22218,Jue Wang
853,22448,Bingsheng He
854,22450,Qiong Luo
855,22489,Jie Chen
856,22497,Matthew E. Taylor
857,22747,Mohand-Said Hacid
858,22763,Chen Chen
859,22796,Yong Yu
860,22797,Yin Yang
861,22996,Frederick Reiss
862,23028,Yugyung Lee
863,23035,Yong Wang
864,23064,Huajun Chen
865,23100,Maria E. Orlowska
866,23131,Chengfei Liu
867,23142,Wei Zhao
868,23149,Akhil Kumar
869,23348,Kamalakar Karlapalem
870,23362,Jan Treur
871,23405,Chang-Shing Perng
872,23422,Prashant Doshi
873,23497,Erik Wilde
874,23500,Biplav Srivastava
875,23513,Brian F. Cooper
876,23519,Yi Chen
877,23523,Eduard H. Hovy
878,23542,Nabil R. Adam
879,23546,Ugur Kuter
880,23621,Jun Zhu
881,23644,Chen Li
882,23645,Manfred Reichert
883,23649,George A. Mihaila
884,23679,Wolfgang Lehner
885,23720,Jun Yan
886,23756,Shiyong Lu
887,23778,Jimeng Sun
888,23826,Jie Yin
889,23839,Vasant Honavar
890,23879,Shantanu Godbole
891,23969,Raghu Krishnapuram
892,23973,L. Venkata Subramaniam
893,23979,Wolf-Tilo Balke
894,23987,Marlon Dumas
895,23988,Sameep Mehta
896,24073,Wang-Chien Lee
897,24192,Chiranjib Bhattacharyya
898,24227,Ee-Peng Lim
899,24369,Abdelkader Hameurlain
900,24402,Zhizhang Shen
901,24479,John K. Debenham
902,24545,Le Gruenwald
903,24622,Ninghui Li
904,24808,Prashant J. Shenoy
905,25261,Andreas Herzig
906,25269,Maarten Marx
907,25483,Hong Shen
908,25745,Li Wang
909,25900,Carsten Lutz
910,25902,Frank Wolter
911,25906,Sarabjot S. Anand
912,25912,John K. Slaney
913,25915,Russ B. Altman
914,25916,Bruce G. Buchanan
915,25940,Richard E. Korf
916,25959,Moshe Tennenholtz
917,25966,Wei Fan
918,25968,Carla P. Gomes
919,25969,Henry A. Kautz
920,25982,Jafar Adibi
921,25997,Gal A. Kaminka
922,26008,Thomas Hofmann
923,26015,Fabrizio Angiulli
924,26022,Carlos Ansótegui
925,26039,Guido Governatori
926,26048,Leila Amgoud
927,26053,Eyal Amir
928,26067,David W. Aha
929,26072,Piergiorgio Bertoli
930,26074,Luciano Serafini
931,26094,Weixiong Zhang
932,26102,Alan M. Frisch
933,26110,Edmund H. Durfee
934,26119,Blai Bonet
935,26121,Thomas G. Dietterich
936,26131,Daniel S. Weld
937,26144,Steven Minton
938,26146,Yolanda Gil
939,26157,Dana S. Nau
940,26175,William C. Regli
941,26176,Evan Sultanik
942,26194,Fahiem Bacchus
943,26198,Sugato Basu
944,26201,Haym Hirsh
945,26202,William W. Cohen
946,26209,Joseph Y. Halpern
947,26213,Roberto J. Bayardo Jr.
948,26214,Qiang Yang
949,26226,Raymond J. Mooney
950,26229,Berthe Y. Choueiry
951,26243,Sheila A. McIlraith
952,26247,Naren Ramakrishnan
953,26254,Dennis F. Kibler
954,26259,Phokion G. Kolaitis
955,26271,Pierre Marquis
